>p(ulse)  T,PW          ... 105us,599
>t
0,12,12
100,12,12
100,143,143
110,143,143
110,201,201
120,201,201
120,223,223
130,223,223
130,230,230
140,230,230
140,228,228
150,228,228
150,223,223
160,223,223
160,216,216
170,216,216
170,209,209
180,209,209
180,202,202
190,202,202
190,197,197
200,197,197
200,192,192
210,192,192
210,188,188
220,188,188
220,185,185
230,185,185
230,181,181
240,181,181
240,179,179
250,179,179
250,177,177
260,177,177
260,176,176
270,176,176
270,174,174
280,174,174
280,172,172
290,172,172
290,171,171
300,171,171
300,172,172
310,172,172
310,170,170
320,170,170
320,170,170
330,170,170
330,169,169
340,169,169
340,169,169
350,169,169
350,495,495
420,495,495
420,12,12
510,12,12
510,12,12
1340,12,12
1340,10,10
1350,10,10
1355,10,10
>
>
