
>v 1.04 Nov 10 2014, <6ED96BE2>
>
>#
>#300,0
>#10,41
>#10,43
>#10,44
>#10,45
>#10,46
>#10,47
>#10,48
>#10,49
>#10,51
>#10,52
>#10,53
>#10,54
>#10,55
>#10,56
>#10,57
>#10,59
>#10,60
>#10,61
>#10,62
>#10,63
>#10,64
>#10,65
>#10,67
>#10,68
>#10,69
>#50,400
>#50,0
>#50,400
>#50,0
>#50,400
>#50,0
>#50,400
>
>#
>#300,0
>#10,41
>#10,43
>#10,44
>#10,45
>#10,46
>#10,47
>#10,48
>#10,49
>#10,51
>#10,52
>#10,53
>#10,54
>#10,55
>#10,56
>#10,57
>#10,59
>#10,60
>#10,61
>#10,62
>#10,63
>#10,64
>#10,65
>#10,67
>#10,68
>#10,69
>#50,400
>#50,0
>#50,400
>#50,0
>#50,400
>#50,0
>#50,400
>#-600,0
>#10,41
>#10,43
>#10,44
>#10,45
>#10,46
>#10,47
>#10,48
>#10,49
>#10,51
>#10,52
>#10,53
>#10,54
>#10,55
>#10,56
>#10,57
>#10,59
>#10,60
>#10,61
>#10,62
>#10,63
>#10,64
>#10,65
>#10,67
>#10,68
>#10,69
>#50,400
>#50,0
>#50,400
>#50,0
>#50,400
>#50,0
>
