
>v 1.04 Nov 13 2014, <C29FBC2E>
>
>#
>#200,0
>#10,226
>#10,230
>#10,233
>#10,236
>#10,239
>#10,242
>#10,246
>#10,249
>#10,252
>#10,256
>#10,259
>#10,262
>#10,265
>#10,268
>#10,272
>#10,275
>#10,278
>#10,282
>#10,285
>#10,288
>#10,291
>#10,294
>#10,298
>#10,301
>#10,304
>#10,310
>#10,312
>#10,314
>#10,316
>#10,318
>#50,530
>#50,0
>#50,530
>#50,0
>#50,530
>#50,0
>#50,530
>#50,0
>#50,530
>#50,0
>#50,530
>#50,0
>#50,530
>#830,0
>
>#
>#200,0
>#10,226
>#10,230
>#10,233
>#10,236
>#10,239
>#10,242
>#10,246
>#10,249
>#10,252
>#10,256
>#10,259
>#10,262
>#10,265
>#10,268
>#10,272
>#10,275
>#10,278
>#10,282
>#10,285
>#10,288
>#10,291
>#10,294
>#10,298
>#10,301
>#10,304
>#10,310
>#10,312
>#10,314
>#10,316
>#10,318
>#50,530
>#50,0
>#50,530
>#50,0
>#50,530
>#50,0
>#50,530
>#50,0
>#50,530
>#50,0
>#50,530
>#50,0
>#50,530
>#830,0
>
>#
>#200,0
>#10,226
>#10,230
>#10,233
>#10,236
>#10,239
>#10,242
>#10,246
>#10,249
>#10,252
>#10,256
>#10,259
>#10,262
>#10,265
>#10,268
>#10,272
>#10,275
>#10,278
>#10,282
>#10,285
>#10,288
>#10,291
>#10,294
>#10,298
>#10,301
>#10,304
>#10,310
>#10,312
>#10,314
>#10,316
>#10,318
>#50,530
>#50,0
>#50,530
>#50,0
>#50,530
>#50,0
>#50,530
>#50,0
>#50,530
>#50,0
>#50,530
>#50,0
>#50,530
>#830,0
>
>#
>#200,0
>#10,226
>#10,230
>#10,233
>#10,236
>#10,239
>#10,242
>#10,246
>#10,249
>#10,252
>#10,256
>#10,259
>#10,262
>#10,265
>#10,268
>#10,272
>#10,275
>#10,278
>#10,282
>#10,285
>#10,288
>#10,291
>#10,294
>#10,298
>#10,301
>#10,304
>#10,310
>#10,312
>#10,314
>#10,316
>#10,318
>#50,530
>#50,0
>#50,530
>#50,0
>#50,530
>#50,0
>#50,530
>#50,0
>#50,530
>#50,0
>#50,530
>#50,0
>#50,530
>#830,0
>
>#
>#200,0
>#10,226
>#10,230
>#10,233
>#10,236
>#10,239
>#10,242
>#10,246
>#10,249
>#10,252
>#10,256
>#10,259
>#10,262
>#10,265
>#10,268
>#10,272
>#10,275
>#10,278
>#10,282
>#10,285
>#10,288
>#10,291
>#10,294
>#10,298
>#10,301
>#10,304
>#10,310
>#10,312
>#10,314
>#10,316
>#10,318
>#50,530
>#50,0
>#50,530
>#50,0
>#50,530
>#50,0
>#50,530
>#50,0
>#50,530
>#50,0
>#50,530
>#50,0
>#50,530
>#830,0
>
>#
>#200,0
>#10,226
>#10,230
>#10,233
>#10,236
>#10,239
>#10,242
>#10,246
>#10,249
>#10,252
>#10,256
>#10,259
>#10,262
>#10,265
>#10,268
>#10,272
>#10,275
>#10,278
>#10,282
>#10,285
>#10,288
>#10,291
>#10,294
>#10,298
>#10,301
>#10,304
>#10,310
>#10,312
>#10,314
>#10,316
>#10,318
>#50,530
>#50,0
>#50,530
